Subject,Method,Tissue Type,Noise Level,RMSE
335561,s1_3,All,0.02,0.91671938500739
335561,both,All,0.02,0.552561095392675
334408,s1_2,WM,0.0005,0.7165553728151897
334408,s1_3,WM,0.0005,0.6999234364489872
334408,both,WM,0.0005,0.8307236084188306
334408,s1_2,GM,0.0005,0.3462745814930527
334408,s1_3,GM,0.0005,0.5189440802993893
334408,both,GM,0.0005,0.5548316796434004
334408,s1_2,Other,0.0005,1.1814413026819652
334408,s1_3,Other,0.0005,2.4582290701203804
334408,both,Other,0.0005,2.380736209021244
334408,s1_2,All,0.0005,0.6902921095788276
334408,s1_3,All,0.0005,1.0449762139305272
334408,both,All,0.0005,1.0777563102077548
334408,s1_2,WM,0.001,0.7165545593322458
334408,s1_3,WM,0.001,0.6999090054242865
334408,both,WM,0.001,0.7272560959613134
334408,s1_2,GM,0.001,0.3470499961213239
334408,s1_3,GM,0.001,0.5181713100228573
334408,both,GM,0.001,0.5304009005761631
334408,s1_2,Other,0.001,1.2010019718088019
334408,s1_3,Other,0.001,2.3900952768655315
334408,both,Other,0.001,2.0870854481129113
334408,s1_2,All,0.001,0.694578392696753
334408,s1_3,All,0.001,1.025181820737978
334408,both,All,0.001,0.9531521893724965
334408,s1_2,WM,0.005,0.7311017888505777
334408,s1_3,WM,0.005,0.7129275627103989
334408,both,WM,0.005,0.7102546116507016
334408,s1_2,GM,0.005,0.3856572104968772
334408,s1_3,GM,0.005,0.4883455738963005
334408,both,GM,0.005,0.4407071922184843
334408,s1_2,Other,0.005,1.3186636010044697
334408,s1_3,Other,0.005,1.629624634397973
334408,both,Other,0.005,1.5689316939042113
334408,s1_2,All,0.005,0.7349019074370899
334408,s1_3,All,0.005,0.8202768145602538
334408,both,All,0.005,0.7941358924012704
334408,s1_2,WM,0.01,0.7846148579597984
334408,s1_3,WM,0.01,0.7552014157591089
334408,both,WM,0.01,0.764642233836193
334408,s1_2,GM,0.01,0.4402445505846863
334408,s1_3,GM,0.01,0.45529664806618003
334408,both,GM,0.01,0.38614976477018514
334408,s1_2,Other,0.01,1.044417523688175
334408,s1_3,Other,0.01,1.6032868413805712
334408,both,Other,0.01,1.1385547193871244
334408,s1_2,All,0.01,0.7197832578589477
334408,s1_3,All,0.01,0.8260128002933828
334408,both,All,0.01,0.7149582865392093
334408,s1_2,WM,0.015,0.8451509672435666
334408,s1_3,WM,0.015,0.8048719810824899
334408,both,WM,0.015,0.8264213130488074
334408,s1_2,GM,0.015,0.4980587313105152
334408,s1_3,GM,0.015,0.47434442192907933
334408,both,GM,0.015,0.45530526003510297
334408,s1_2,Other,0.015,0.8904569990856704
334408,s1_3,Other,0.015,1.6155616119429934
334408,both,Other,0.015,0.7932725241165903
334408,s1_2,All,0.015,0.7426267529922237
334408,s1_3,All,0.015,0.8561517364005887
334408,both,All,0.015,0.7073883776394772
334408,s1_2,WM,0.02,0.9315322436446709
334408,s1_3,WM,0.02,0.8686726973977035
334408,both,WM,0.02,0.8986674190162547
334408,s1_2,GM,0.02,0.5607721777879731
334408,s1_3,GM,0.02,0.5193757227503333
334408,both,GM,0.02,0.5445200768889995
334408,s1_2,Other,0.02,1.2255781144468005
334408,s1_3,Other,0.02,1.516554103002301
