Subject,Region,Method,Tissue Label,RMSE
335293,119.0,lut,GM,0.2182880941602391
335293,120.0,s1_2,GM,0.4158109375015188
335293,120.0,s1_3,GM,0.42852509994015575
335293,120.0,both,GM,0.3906858807982463
335293,120.0,lut,GM,0.37589577633462845
335293,121.0,s1_2,GM,0.3654148783460915
335293,121.0,s1_3,GM,0.4027145071573243
335293,121.0,both,GM,0.3650383761090939
335293,121.0,lut,GM,0.3281253024564126
335293,128.0,s1_2,GM,0.33336535589189026
335293,128.0,s1_3,GM,0.2324654030092855
335293,128.0,both,GM,0.231987789661303
335293,128.0,lut,GM,0.2996806283571635
335293,138.0,s1_2,GM,0.30541067178528314
335293,138.0,s1_3,GM,0.6185552072840874
335293,138.0,both,GM,0.5151229929588585
335293,138.0,lut,GM,0.33662184757423974
335293,139.0,s1_2,GM,0.29756312717614236
335293,139.0,s1_3,GM,0.5086493089614464
335293,139.0,both,GM,0.4490611898458169
335293,139.0,lut,GM,0.3167965731876921
335293,142.0,s1_2,GM,0.30324266063227084
335293,142.0,s1_3,GM,0.43704659714744737
335293,142.0,both,GM,0.3808101697112003
335293,142.0,lut,GM,0.26624779906641693
335293,143.0,s1_2,GM,0.2850817929155617
335293,143.0,s1_3,GM,0.42915487160518745
335293,143.0,both,GM,0.36691675232219184
335293,143.0,lut,GM,0.25884507151815084
335293,144.0,s1_2,GM,0.3862717059822782
335293,144.0,s1_3,GM,0.5243144477310744
335293,144.0,both,GM,0.4532903156586388
335293,144.0,lut,GM,0.3380859260647041
335293,145.0,s1_2,GM,0.4831114806011779
335293,145.0,s1_3,GM,0.4875998363988771
335293,145.0,both,GM,0.4573876518992247
335293,145.0,lut,GM,0.462037411940599
335293,152.0,s1_2,GM,0.3227725144042467
335293,152.0,s1_3,GM,0.4997824516588598
335293,152.0,both,GM,0.42348785194442556
335293,152.0,lut,GM,0.29106191200973014
335293,153.0,s1_2,GM,0.24765339441737022
335293,153.0,s1_3,GM,0.3488343448898224
335293,153.0,both,GM,0.29696703359236304
335293,153.0,lut,GM,0.22561335902667906
335293,154.0,s1_2,GM,0.2538499477295588
335293,154.0,s1_3,GM,0.10438407870202727
335293,154.0,both,GM,0.11864632760441247
335293,154.0,lut,GM,0.21648793513259804
335293,155.0,s1_2,GM,0.3770200307166974
335293,155.0,s1_3,GM,0.43785824910279947
335293,155.0,both,GM,0.3955151708513684
335293,155.0,lut,GM,0.34164632150301794
335293,156.0,s1_2,GM,0.8908623287915918
335293,156.0,s1_3,GM,1.006034634793063
335293,156.0,both,GM,0.9692115402553473
335293,156.0,lut,GM,0.8968838926948346
335293,157.0,s1_2,GM,0.7622522440671697
335293,157.0,s1_3,GM,0.7223903898943169
335293,157.0,both,GM,0.725787712506763
335293,157.0,lut,GM,0.7497688822218868
335293,162.0,s1_2,GM,0.27599071265138636
335293,162.0,s1_3,GM,0.42851497667025584
335293,162.0,both,GM,0.3845908822010013
335293,162.0,lut,GM,0.24567407874019095
335293,163.0,s1_2,GM,0.24059592816255546
335293,163.0,s1_3,GM,0.3279753993019003
335293,163.0,both,GM,0.284577137317061
335293,163.0,lut,GM,0.21577504705229938
335293,166.0,s1_2,GM,0.2690258880864453
335293,166.0,s1_3,GM,0.3678763310138038
335293,166.0,both,GM,0.2993033335558903
335293,166.0,lut,GM,0.2412779688823862
335293,167.0,s1_2,GM,0.2752740294763188
335293,167.0,s1_3,GM,0.34137008957721054
335293,167.0,both,GM,0.2793155020412104
335293,167.0,lut,GM,0.2506750817015401
335293,168.0,s1_2,GM,0.2968656582510995
335293,168.0,s1_3,GM,0.43813860410283956
335293,168.0,both,GM,0.3601111063692843
335293,168.0,lut,GM,0.2554349241532474
335293,169.0,s1_2,GM,0.32023702619716304
335293,169.0,s1_3,GM,0.4169125138760035
335293,169.0,both,GM,0.35162980002973704
335293,169.0,lut,GM,0.267924497879645
335293,172.0,s1_2,GM,0.1568846310970379
335293,172.0,s1_3,GM,0.27674135988834103
335293,172.0,both,GM,0.23078337966879162
335293,172.0,lut,GM,0.14977196002143037
335293,173.0,s1_2,GM,0.30075747860311836
335293,173.0,s1_3,GM,0.45501621842776524
335293,173.0,both,GM,0.4070236878984666
335293,173.0,lut,GM,0.26924707038903795
335293,174.0,s1_2,GM,0.27368662047154757
335293,174.0,s1_3,GM,0.36294236062447055
335293,174.0,both,GM,0.3233898263211598
335293,174.0,lut,GM,0.2447232347724259
335293,175.0,s1_2,GM,0.3036237307292595
335293,175.0,s1_3,GM,0.4170123138970297
335293,175.0,both,GM,0.3596252053200906
335293,175.0,lut,GM,0.2614806113129587
335293,176.0,s1_2,GM,0.27296438853314975
335293,176.0,s1_3,GM,0.347528377482175
335293,176.0,both,GM,0.31401231079582254
335293,176.0,lut,GM,0.24142617747789022
335293,177.0,s1_2,GM,0.26468976996954247
335293,177.0,s1_3,GM,0.400322611945598
335293,177.0,both,GM,0.3477244893644687
335293,177.0,lut,GM,0.24970664219449462
335293,182.0,s1_2,GM,0.2425230296479312
335293,182.0,s1_3,GM,0.3859511520834159
335293,182.0,both,GM,0.33981745007286634
335293,182.0,lut,GM,0.21796918453271744
335293,183.0,s1_2,GM,0.2052895000058824
335293,183.0,s1_3,GM,0.30152915210667613
335293,183.0,both,GM,0.25960655426594154
335293,183.0,lut,GM,0.18865967575321532
335293,184.0,s1_2,GM,0.26478339936360085
335293,184.0,s1_3,GM,0.3519733315239547
335293,184.0,both,GM,0.3136891223738363
335293,184.0,lut,GM,0.2472835481282811
335293,185.0,s1_2,GM,0.2849452911836622
335293,185.0,s1_3,GM,0.43547774257358884
335293,185.0,both,GM,0.3686720413898296
335293,185.0,lut,GM,0.25064195393118005
335293,190.0,s1_2,GM,0.40425496073481965
335293,190.0,s1_3,GM,0.5444257018579018
335293,190.0,both,GM,0.47952403433907853
335293,190.0,lut,GM,0.34611371550575437
335293,191.0,s1_2,GM,0.3353709125531657
335293,191.0,s1_3,GM,0.5219992819879319
335293,191.0,both,GM,0.4488674852914693
335293,191.0,lut,GM,0.29197708801324784
335293,194.0,s1_2,GM,0.2893100140646797
335293,194.0,s1_3,GM,0.2809222327162084
335293,194.0,both,GM,0.2607333234126985
335293,194.0,lut,GM,0.2691630233042487
335293,195.0,s1_2,GM,0.21119049063859258
335293,195.0,s1_3,GM,0.3384420646511885
335293,195.0,both,GM,0.2801178008424098
335293,195.0,lut,GM,0.19516768468032508
335293,196.0,s1_2,GM,0.3313192855220386
335293,196.0,s1_3,GM,0.37576285994680764
335293,196.0,both,GM,0.32727675152317853
335293,196.0,lut,GM,0.30121605692738307
335293,197.0,s1_2,GM,0.3381814007732508
335293,197.0,s1_3,GM,0.4155659333854305
335293,197.0,both,GM,0.3908820035732693
335293,197.0,lut,GM,0.2980788731715612
335293,198.0,s1_2,GM,0.17252759417060318
335293,198.0,s1_3,GM,0.30033566669960265
335293,198.0,both,GM,0.2593203767621392
335293,198.0,lut,GM,0.1755320079014497
335293,199.0,s1_2,GM,0.19990004398109879
335293,199.0,s1_3,GM,0.27885126392220183
335293,199.0,both,GM,0.239120352655073
335293,199.0,lut,GM,0.1838080668483847
335293,200.0,s1_2,GM,0.36651892825503485
335293,200.0,s1_3,GM,0.33211676668107826
335293,200.0,both,GM,0.31758373974348797
335293,200.0,lut,GM,0.3464816384288516
335293,201.0,s1_2,GM,0.43930252653149
335293,201.0,s1_3,GM,0.5425099536400075
335293,201.0,both,GM,0.4977086877410371
335293,201.0,lut,GM,0.4091450776800029
335293,204.0,s1_2,GM,0.24197233352180483
335293,204.0,s1_3,GM,0.3348293329279061
335293,204.0,both,GM,0.29342711839293933
335293,204.0,lut,GM,0.22286848897315534
335293,205.0,s1_2,GM,0.25899395104355255
335293,205.0,s1_3,GM,0.3285493047900559
335293,205.0,both,GM,0.29239962857087465
335293,205.0,lut,GM,0.2321280462207141
335293,206.0,s1_2,GM,0.30660615690553483
335293,206.0,s1_3,GM,0.4562556215663758
335293,206.0,both,GM,0.40948802827663316
335293,206.0,lut,GM,0.2953162824262893
