Subject,Method,Tissue Type,RMSE
335450,s1_2,GM,0.38232894984516946
335450,s1_3,GM,0.4491507091963309
335450,both,GM,0.3886627605217875
335450,lut,GM,0.3195853439634331
335450,s1_2,Other,1.2206612755355009
335450,s1_3,Other,1.6316968251008919
335450,both,Other,1.4704093856307037
335450,lut,Other,0.7886435442878942
335450,s1_2,All,0.6026697742013066
335450,s1_3,All,0.7577354103924949
335450,both,All,0.6825279181957976
335450,lut,All,0.43456625246186953
335740,s1_2,WM,0.27184840117131287
335740,s1_3,WM,0.24098948672007245
335740,both,WM,0.22516574705870424
335740,lut,WM,0.2371760268483698
335740,s1_2,GM,0.31195127566173037
335740,s1_3,GM,0.4676725541833602
335740,both,GM,0.4010705137386951
335740,lut,GM,0.2781363893388896
335740,s1_2,Other,1.028163575614194
335740,s1_3,Other,1.5869169426582883
335740,both,Other,1.4252267896591848
335740,lut,Other,0.716394589288918
335740,s1_2,All,0.4403158052196545
335740,s1_3,All,0.6322945041685449
335740,both,All,0.5639162338604492
335740,lut,All,0.34084194408602864
335293,s1_2,WM,0.5308046479072723
335293,s1_3,WM,0.5079636733371574
335293,both,WM,0.5010659079819245
335293,lut,WM,0.4893030153767916
335293,s1_2,GM,0.3548699985168985
335293,s1_3,GM,0.4659797154969346
335293,both,GM,0.4078887660680644
335293,lut,GM,0.28816570627692134
335293,s1_2,Other,1.2048659636653856
335293,s1_3,Other,1.5251927592944543
335293,both,Other,1.431214906632282
335293,lut,Other,0.8747111095050365
335293,s1_2,All,0.5957331284295356
335293,s1_3,All,0.6995341100847772
335293,both,All,0.6562851017029765
335293,lut,All,0.48448163923704207
336418,s1_2,WM,0.32161241088993026
336418,s1_3,WM,0.29394044516430423
336418,both,WM,0.27386177150491414
336418,lut,WM,0.28153170947220313
336418,s1_2,GM,0.34439566738144056
336418,s1_3,GM,0.44289437204936716
336418,both,GM,0.37068012780235754
336418,lut,GM,0.2841319724661117
336418,s1_2,Other,1.0654714776825196
336418,s1_3,Other,1.515333662955144
336418,both,Other,1.3739817531377516
336418,lut,Other,0.6712246789398717
336418,s1_2,All,0.5146060869404965
336418,s1_3,All,0.6803136234964016
336418,both,All,0.6105644948194833
336418,lut,All,0.3684339635476395
336945,s1_2,WM,0.2765151582856758
336945,s1_3,WM,0.2505096555138528
336945,both,WM,0.23389273191071433
336945,lut,WM,0.24173487875617947
336945,s1_2,GM,0.3032497778998766
336945,s1_3,GM,0.4394968290042272
336945,both,GM,0.36397135382485923
336945,lut,GM,0.26199154438550404
336945,s1_2,Other,0.9224955101202129
336945,s1_3,Other,1.4644872441067867
336945,both,Other,1.3155161665086947
336945,lut,Other,0.6085103583074235
336945,s1_2,All,0.38796419438333546
336945,s1_3,All,0.545440829980585
336945,both,All,0.4824207592288468
336945,lut,All,0.299743819990471
334264,s1_2,WM,0.30882004494171567
334264,s1_3,WM,0.28803631868224344
334264,both,WM,0.26900060962161004
334264,lut,WM,0.26800972119462807
334264,s1_2,GM,0.45203940275037136
334264,s1_3,GM,0.5618233705153278
334264,both,GM,0.5030051055513681
334264,lut,GM,0.36762369364507996
334264,s1_2,Other,1.342850821916244
334264,s1_3,Other,1.7091832221312069
334264,both,Other,1.590523158447089
334264,lut,Other,0.9514518174045111
334264,s1_2,All,0.5879441290797002
334264,s1_3,All,0.7216569322202724
334264,both,All,0.6652970690557539
334264,lut,All,0.44527566398124474
336117,s1_2,WM,0.28936525293897075
336117,s1_3,WM,0.2592193827957263
336117,both,WM,0.23861393336499936
336117,lut,WM,0.2499049271261937
336117,s1_2,GM,0.3424258827369586
336117,s1_3,GM,0.5091875390683471
336117,both,GM,0.4276931324865755
336117,lut,GM,0.2852724096737322
336117,s1_2,Other,1.1337238509341199
336117,s1_3,Other,1.7163988975184035
336117,both,Other,1.5907865700408501
336117,lut,Other,0.7219201563269999
336117,s1_2,All,0.47988017433829433
336117,s1_3,All,0.6823283866077376
336117,both,All,0.6186510862251183
336117,lut,All,0.34783914366206986
335574,s1_2,WM,0.3409667167073979
335574,s1_3,WM,0.31848118742295284
335574,both,WM,0.3018872361874625
335574,lut,WM,0.3033622738802876
335574,s1_2,GM,0.39674367834491037
335574,s1_3,GM,0.5355960281565343
335574,both,GM,0.45367148710466093
335574,lut,GM,0.33263642771994034
335574,s1_2,Other,1.1020089771853707
335574,s1_3,Other,1.555234071131293
335574,both,Other,1.4136772087913578
335574,lut,Other,0.7687534959584796
335574,s1_2,All,0.5735555270256788
335574,s1_3,All,0.766467163954492
335574,both,All,0.6905624826115148
